Voo,Origem,Destino,Tipo_Aviao,Partida,Chegada,Lugares_Executiva,Lugares_Economica,Lugares_Exec_Vendidos,Lugares_Econ_Vendidos
114,EWR,OPO,332,9/1/2009 0:05,9/1/2009 7:15,24,239,8,157
208,DKR,LIS,319,9/1/2009 0:35,9/1/2009 4:40,15,110,6,107
176,GIG,LIS,343,9/1/2009 1:50,9/1/2009 11:25,36,232,19,192
194,GRU,LIS,332,9/1/2009 1:50,9/1/2009 11:35,24,244,12,212
152,REC,LIS,332,9/1/2009 2:50,9/1/2009 10:20,24,239,11,188
210,DKR,LIS,319,9/1/2009 3:00,9/1/2009 6:55,15,110,8,108
835,FCO,LIS,320,9/1/2009 4:20,9/1/2009 7:20,14,143,3,125
611,BRU,LIS,319,9/1/2009 4:25,9/1/2009 7:05,15,113,2,89
667,AMS,LIS,320,9/1/2009 4:25,9/1/2009 7:25,14,143,0,81
751,BCN,LIS,319,9/1/2009 4:35,9/1/2009 6:35,15,113,2,72
829,LIN,LIS,320,9/1/2009 4:35,9/1/2009 7:25,14,143,2,122
429,CDG,LIS,320,9/1/2009 4:55,9/1/2009 7:25,14,143,0,33
459,ORY,OPO,319,9/1/2009 5:00,9/1/2009 7:05,15,113,0,67
1602,FNC,LIS,320,9/1/2009 5:00,9/1/2009 6:35,14,143,4,140
1951,OPO,LIS,320,9/1/2009 5:05,9/1/2009 6:00,14,143,13,143
1948,LIS,OPO,319,9/1/2009 5:10,9/1/2009 6:05,15,113,0,6
1900,FAO,LIS,319,9/1/2009 5:15,9/1/2009 6:00,15,113,5,99
441,ORY,LIS,320,9/1/2009 5:20,9/1/2009 7:45,14,143,1,63
464,OPO,ORY,319,9/1/2009 6:05,9/1/2009 8:10,15,113,13,113
711,MAD,LIS,319,9/1/2009 6:05,9/1/2009 7:20,15,113,2,51
748,LIS,BCN,319,9/1/2009 6:05,9/1/2009 7:55,15,113,2,98
1572,FNC,OPO,319,9/1/2009 6:05,9/1/2009 8:00,0,132,0,121
272,JNB,LIS,332,9/1/2009 6:10,9/1/2009 17:00,24,244,6,106
604,LIS,BRU,319,9/1/2009 6:15,9/1/2009 9:00,15,113,11,105
834,LIS,FCO,320,9/1/2009 6:15,9/1/2009 9:10,14,143,14,138
424,LIS,CDG,320,9/1/2009 6:20,9/1/2009 8:55,14,143,10,133
1604,FNC,LIS,319,9/1/2009 6:40,9/1/2009 8:15,15,113,15,113
354,LIS,LHR,320,9/1/2009 6:45,9/1/2009 9:35,14,143,14,142
1953,OPO,LIS,319,9/1/2009 6:45,9/1/2009 7:40,15,113,15,113
432,LIS,ORY,321,9/1/2009 6:55,9/1/2009 9:25,14,178,13,175
668,LIS,AMS,320,9/1/2009 6:55,9/1/2009 9:45,14,143,0,104
920,LIS,ZRH,319,9/1/2009 6:55,9/1/2009 9:40,15,113,2,74
806,LIS,MXP,320,9/1/2009 7:00,9/1/2009 9:35,14,143,11,140
856,LIS,BLQ,319,9/1/2009 7:05,9/1/2009 9:50,15,113,7,113
1821,LIS,TER,321,9/1/2009 7:05,9/1/2009 9:45,14,178,2,144
1861,LIS,PDL,321,9/1/2009 7:05,9/1/2009 9:35,14,178,8,178
1952,LIS,OPO,320,9/1/2009 7:10,9/1/2009 8:05,14,143,10,102
1609,LIS,FNC,320,9/1/2009 7:25,9/1/2009 9:10,14,143,0,138
570,LIS,FRA,319,9/1/2009 7:35,9/1/2009 10:40,15,113,7,109
946,LIS,GVA,319,9/1/2009 7:50,9/1/2009 10:15,15,113,6,94
1573,OPO,FNC,319,9/1/2009 7:50,9/1/2009 9:50,0,132,0,131
500,LIS,ARN,320,9/1/2009 8:05,9/1/2009 12:25,14,143,1,104
712,LIS,MAD,319,9/1/2009 8:05,9/1/2009 9:20,15,113,3,92
746,LIS,BCN,319,9/1/2009 8:05,9/1/2009 9:55,15,113,2,98
530,LIS,PRG,320,9/1/2009 8:10,9/1/2009 11:30,14,143,5,139
1615,LIS,FNC,320,9/1/2009 8:15,9/1/2009 10:05,14,143,0,116
191,LIS,GRU,332,9/1/2009 8:25,9/1/2009 18:40,24,244,12,195
504,LIS,CPH,319,9/1/2009 8:25,9/1/2009 12:10,15,113,0,53
506,LIS,OSL,319,9/1/2009 8:25,9/1/2009 12:25,15,113,0,75
838,LIS,FCO,320,9/1/2009 8:25,9/1/2009 11:20,14,143,7,134
536,LIS,BUD,320,9/1/2009 8:30,9/1/2009 12:10,14,143,0,128
558,LIS,MUC,320,9/1/2009 8:30,9/1/2009 11:40,14,143,8,128
560,LIS,HAM,319,9/1/2009 8:30,9/1/2009 11:50,15,113,0,77
872,LIS,VCE,320,9/1/2009 8:30,9/1/2009 11:30,14,143,4,122
179,LIS,GIG,332,9/1/2009 8:35,9/1/2009 18:50,24,239,21,120
434,LIS,ORY,319,9/1/2009 8:35,9/1/2009 11:05,15,113,15,107
1907,LIS,FAO,320,9/1/2009 8:35,9/1/2009 9:20,14,143,3,95
749,BCN,LIS,319,9/1/2009 8:40,9/1/2009 10:40,15,113,5,85
938,OPO,GVA,320,9/1/2009 8:50,9/1/2009 11:10,14,143,2,137
173,LIS,BSB,332,9/1/2009 8:55,9/1/2009 18:35,24,239,4,171
451,ORY,OPO,319,9/1/2009 8:55,9/1/2009 11:00,15,113,1,72
352,LIS,LHR,319,9/1/2009 9:00,9/1/2009 11:50,15,113,15,109
608,LIS,BRU,319,9/1/2009 9:00,9/1/2009 11:45,15,113,9,110
916,OPO,ZRH,319,9/1/2009 9:00,9/1/2009 11:35,15,113,4,110
195,OPO,GRU,332,9/1/2009 9:15,9/1/2009 20:05,24,239,9,183
425,CDG,LIS,320,9/1/2009 9:40,9/1/2009 12:20,14,143,0,96
159,LIS,SSA,332,9/1/2009 9:45,9/1/2009 18:30,24,239,21,153
605,BRU,LIS,319,9/1/2009 9:45,9/1/2009 12:35,15,113,0,89
837,FCO,LIS,320,9/1/2009 9:55,9/1/2009 12:55,14,143,5,137
1614,FNC,LIS,320,9/1/2009 9:55,9/1/2009 11:30,14,143,10,144
1908,FAO,LIS,320,9/1/2009 10:00,9/1/2009 10:45,14,143,8,118
121,LIS,CCS,332,9/1/2009 10:10,9/1/2009 19:20,24,244,12,222
437,ORY,LIS,321,9/1/2009 10:10,9/1/2009 12:35,14,178,2,92
803,MXP,LIS,320,9/1/2009 10:20,9/1/2009 13:00,14,143,5,79
1860,PDL,LIS,321,9/1/2009 10:25,9/1/2009 12:30,14,178,11,179
665,AMS,LIS,320,9/1/2009 10:30,9/1/2009 13:35,14,143,0,121
1574,FNC,OPO,319,9/1/2009 10:30,9/1/2009 12:25,15,113,1,109
103,LIS,EWR,343,9/1/2009 10:35,9/1/2009 19:05,36,232,34,230
857,BLQ,LIS,319,9/1/2009 10:35,9/1/2009 13:35,15,113,1,83
1822,TER,LIS,321,9/1/2009 10:35,9/1/2009 12:50,14,178,4,180
745,BCN,LIS,319,9/1/2009 10:40,9/1/2009 12:40,15,113,4,93
1621,LIS,FNC,320,9/1/2009 10:40,9/1/2009 12:30,14,143,14,142
348,FNC,LGW,320,9/1/2009 10:45,9/1/2009 14:30,14,143,14,135
714,LIS,MAD,319,9/1/2009 10:50,9/1/2009 12:05,0,132,0,122
713,MAD,LIS,319,9/1/2009 11:00,9/1/2009 12:15,15,113,7,68
342,LIS,LGW,320,9/1/2009 11:45,9/1/2009 14:30,14,143,13,142
435,ORY,LIS,319,9/1/2009 11:50,9/1/2009 14:15,15,113,7,30
839,FCO,LIS,320,9/1/2009 12:05,9/1/2009 15:05,14,143,3,116
438,LIS,ORY,320,9/1/2009 12:15,9/1/2009 14:40,14,143,14,143
873,VCE,LIS,320,9/1/2009 12:15,9/1/2009 15:25,14,143,0,140
609,BRU,LIS,319,9/1/2009 12:30,9/1/2009 15:20,15,113,0,68
715,MAD,LIS,319,9/1/2009 12:50,9/1/2009 14:05,15,113,2,41
1627,LIS,FNC,319,9/1/2009 13:00,9/1/2009 14:45,0,132,0,121
501,ARN,LIS,320,9/1/2009 13:10,9/1/2009 17:35,14,143,0,78
507,OSL,LIS,319,9/1/2009 13:10,9/1/2009 17:20,15,113,1,88
1577,OPO,FNC,319,9/1/2009 13:10,9/1/2009 15:10,15,113,15,113
1620,FNC,LIS,320,9/1/2009 13:10,9/1/2009 14:45,14,143,7,143
576,LIS,FRA,319,9/1/2009 13:15,9/1/2009 16:20,15,113,1,105
660,LIS,AMS,321,9/1/2009 13:20,9/1/2009 16:15,14,178,1,165
842,LIS,FCO,319,9/1/2009 13:20,9/1/2009 16:15,15,113,15,113
356,LIS,LHR,321,9/1/2009 13:35,9/1/2009 16:25,14,178,23,162
926,LIS,ZRH,319,9/1/2009 13:40,9/1/2009 16:30,15,113,3,95
804,LIS,MXP,320,9/1/2009 13:50,9/1/2009 16:30,14,143,4,139
1970,LIS,OPO,320,9/1/2009 13:50,9/1/2009 14:45,14,143,7,114
165,LIS,FOR,332,9/1/2009 14:00,9/1/2009 21:30,24,244,10,174
614,LIS,BRU,319,9/1/2009 14:00,9/1/2009 16:45,15,113,8,112
175,LIS,GIG,332,9/1/2009 14:05,9/2/2009 0:20,24,239,10,144
1633,LIS,FNC,320,9/1/2009 14:15,9/1/2009 16:05,0,162,0,155
440,LIS,ORY,320,9/1/2009 14:20,9/1/2009 16:50,14,143,14,143
484,LIS,NCE,319,9/1/2009 14:20,9/1/2009 16:45,15,113,0,92
944,LIS,GVA,319,9/1/2009 14:20,9/1/2009 16:50,15,113,6,108
145,LIS,NAT,332,9/1/2009 14:45,9/1/2009 22:15,24,244,5,110
1913,LIS,FAO,319,9/1/2009 14:50,9/1/2009 15:35,15,113,0,62
153,LIS,REC,332,9/1/2009 15:00,9/1/2009 22:50,24,239,0,116
718,LIS,MAD,319,9/1/2009 15:00,9/1/2009 16:15,15,113,9,113
386,OPO,LHR,320,9/1/2009 15:05,9/1/2009 17:30,14,143,14,142
349,LGW,FNC,320,9/1/2009 15:20,9/1/2009 19:15,14,143,11,109
439,ORY,LIS,320,9/1/2009 15:25,9/1/2009 17:50,14,143,5,58
1626,FNC,LIS,319,9/1/2009 15:25,9/1/2009 17:00,0,132,0,122
1972,LIS,OPO,319,9/1/2009 15:30,9/1/2009 16:25,15,113,11,58
468,OPO,ORY,319,9/1/2009 15:40,9/1/2009 17:50,15,113,15,113
580,LIS,WAW,320,9/1/2009 15:50,9/1/2009 19:45,14,143,0,125
1580,FNC,OPO,319,9/1/2009 15:50,9/1/2009 17:45,15,113,0,110
1825,LIS,TER,320,9/1/2009 15:50,9/1/2009 18:30,14,143,6,97
1975,OPO,LIS,320,9/1/2009 15:55,9/1/2009 16:50,14,143,0,65
752,LIS,BCN,320,9/1/2009 16:05,9/1/2009 17:55,14,143,5,128
1639,LIS,FNC,319,9/1/2009 16:05,9/1/2009 17:55,15,113,14,112
1912,FAO,LIS,319,9/1/2009 16:15,9/1/2009 17:00,15,113,11,113
428,LIS,CDG,319,9/1/2009 16:45,9/1/2009 19:20,15,113,15,112
1632,FNC,LIS,320,9/1/2009 16:45,9/1/2009 18:20,14,143,7,143
283,LIS,JNB,343,9/1/2009 16:50,9/2/2009 3:20,36,232,7,32
661,AMS,LIS,321,9/1/2009 17:00,9/1/2009 20:00,14,178,1,89
719,MAD,LIS,319,9/1/2009 17:00,9/1/2009 18:15,15,113,3,69
843,FCO,LIS,319,9/1/2009 17:00,9/1/2009 20:00,15,113,1,113
1977,OPO,LIS,319,9/1/2009 17:05,9/1/2009 18:00,15,113,6,109
805,MXP,LIS,320,9/1/2009 17:15,9/1/2009 20:00,14,143,1,43
1827,LIS,TER,320,9/1/2009 17:15,9/1/2009 19:55,14,143,0,105
615,BRU,LIS,319,9/1/2009 17:30,9/1/2009 20:10,15,113,4,71
358,LIS,LHR,320,9/1/2009 17:35,9/1/2009 20:25,14,143,9,136
445,ORY,LIS,320,9/1/2009 17:35,9/1/2009 20:00,14,143,2,70
448,LIS,ORY,320,9/1/2009 17:45,9/1/2009 20:15,0,162,0,162
566,LIS,HAM,319,9/1/2009 17:45,9/1/2009 21:00,15,113,0,61
836,LIS,FCO,320,9/1/2009 17:55,9/1/2009 20:50,14,143,14,143
928,LIS,ZRH,319,9/1/2009 18:00,9/1/2009 20:50,15,113,0,63
552,LIS,MUC,319,9/1/2009 18:05,9/1/2009 21:15,15,113,0,110
578,LIS,FRA,320,9/1/2009 18:10,9/1/2009 21:15,14,143,2,111
662,LIS,AMS,320,9/1/2009 18:20,9/1/2009 21:15,14,143,0,95
458,OPO,ORY,319,9/1/2009 18:30,9/1/2009 20:40,15,113,15,110
455,ORY,OPO,319,9/1/2009 18:35,9/1/2009 20:40,15,113,1,36
1664,FNC,LIS,319,9/1/2009 18:35,9/1/2009 20:10,15,113,11,113
741,BCN,LIS,320,9/1/2009 18:40,9/1/2009 20:40,14,143,2,94
618,LIS,BRU,319,9/1/2009 18:45,9/1/2009 21:30,15,113,5,108
826,LIS,LIN,320,9/1/2009 18:50,9/1/2009 21:30,14,143,1,124
942,LIS,GVA,319,9/1/2009 18:50,9/1/2009 21:15,15,113,1,88
362,LIS,LHR,320,9/1/2009 18:55,9/1/2009 21:45,14,143,7,139
724,LIS,MAD,319,9/1/2009 19:05,9/1/2009 20:20,15,113,0,59
740,LIS,BCN,319,9/1/2009 19:05,9/1/2009 20:55,15,113,0,87
1826,TER,LIS,320,9/1/2009 19:20,9/1/2009 21:35,14,143,2,125
